TOMATO SOUP,150.0,170.0,210.0,170.0,150.0
CHICKEN LUNGGUNG SOUP,160.0,180.0,210.0,180.0,160.0
CHICKEN DRUMSTICK BONES,380.0,400.0,430.0,400.0,380.0
CHICKEN WINS BONES,380.0,400.0,430.0,400.0,380.0
CHILLI WINGS BONES,380.0,400.0,430.0,400.0,380.0
CHICKEN LOLLIPOP BONES,390.0,410.0,440.0,410.0,390.0
CHICKEN CURRY B/L,370.0,390.0,420.0,390.0,370.0
ANDHRA CHICKEN CURRY B/L,370.0,390.0,420.0,390.0,370.0
KADAI CHICKEN CURRY B/L,370.0,390.0,430.0,390.0,370.0
MOGHALAI CHICKEN CURRY B/L,410.0,430.0,460.0,430.0,410.0
BUTTER CHICKEN CURRY B/L,390.0,410.0,440.0,410.0,390.0
KASHMIRI CHICKEN CURRY B/L,360.0,380.0,410.0,380.0,360.0
V GRAND SPL CREAM OF CHICKEN SOUP,190.0,210.0,240.0,210.0,190.0
CHICKEN MAHARANI CURRY B/L,400.0,420.0,450.0,420.0,400.0
Item,10.0,10.0,10.0,10.0,10.0
Onion Ritha,35.0,35.0,40.0,35.0,35.0
Pulpy Orange 250 Ml,35.0,35.0,40.0,35.0,35.0
Thumsup 250 Ml,25.0,20.0,25.0,25.0,25.0
Sprite 250 Ml,25.0,20.0,25.0,25.0,25.0
Coca Cola 250 Ml,25.0,20.0,25.0,25.0,25.0
Limca 250 Ml,25.0,20.0,25.0,25.0,25.0
Fanta 250 Ml,25.0,25.0,25.0,25.0,25.0
Soda 250 Ml,20.0,20.0,20.0,20.0,20.0
Soda 750 Ml,40.0,40.0,40.0,40.0,40.0
Thumsup 600 Ml,50.0,55.0,50.0,55.0,50.0
Sprite 600 Ml,50.0,55.0,55.0,55.0,50.0
Today Spl Fish,399.0,419.0,480.0,419.0,390.0
Mixed Non Veg Biryani,479.0,499.0,550.0,499.0,470.0
Pulpy Orange 1 Ltr,100.0,110.0,110.0,110.0,100.0
Fresh Lime Soda Salt,70.0,90.0,110.0,90.0,0.0
Fresh Lime Soda Sweet,70.0,90.0,110.0,90.0,0.0
Fresh Lime Soda Sweet And Salt,80.0,100.0,110.0,100.0,0.0
Mojitho,110.0,120.0,140.0,120.0,0.0
Moctail,99.0,110.0,130.0,110.0,0.0
Spl Curd Rice 1/2,220.0,240.0,270.0,240.0,220.0
Today Spl Tandoori Fish Bone,370.0,390.0,420.0,390.0,370.0
ToDay Spl Chicken Chinese Bl,410.0,430.0,460.0,430.0,410.0
Today Spl Chicken Chinese Bone,380.0,400.0,430.0,400.0,380.0
Chicken Fry Bones,320.0,340.0,370.0,340.0,320.0
Velvet Egg,230.0,250.0,280.0,250.0,230.0
Curd Rice 1/2,180.0,200.0,230.0,200.0,180.0
